State,num_deaths,area,Date,full_name
MN,0,Midwest,2020-03-03,Minnesota
MO,0,Midwest,2020-03-03,Missouri
ND,0,Midwest,2020-03-03,North Dakota
NE,0,Midwest,2020-03-03,Nebraska
OH,0,Midwest,2020-03-03,Ohio
OK,0,Midwest,2020-03-03,Oklahoma
SD,0,Midwest,2020-03-03,South Dakota
WI,0,Midwest,2020-03-03,Wisconsin
AL,0,South,2020-03-03,Alabama
AR,0,South,2020-03-03,Arkansas
FL,0,South,2020-03-03,Florida
GA,0,South,2020-03-03,Georgia
KY,0,South,2020-03-03,Kentucky
LA,0,South,2020-03-03,Louisiana
MS,0,South,2020-03-03,Mississippi
NC,0,South,2020-03-03,North Carolina
SC,0,South,2020-03-03,South Carolina
TN,0,South,2020-03-03,Tennessee
TX,0,South,2020-03-03,Texas
VA,0,South,2020-03-03,Virginia
WV,0,South,2020-03-03,West Virginia
CT,0,Northeast,2020-03-03,Connecticut
DC,0,Northeast,2020-03-03,NA
DE,0,Northeast,2020-03-03,Delaware
MA,0,Northeast,2020-03-03,Massachusetts
MD,0,Northeast,2020-03-03,Maryland
ME,0,Northeast,2020-03-03,Maine
NH,0,Northeast,2020-03-03,New Hampshire
NJ,0,Northeast,2020-03-03,New Jersey
NY,0,Northeast,2020-03-03,New York
PA,0,Northeast,2020-03-03,Pennsylvania
RI,0,Northeast,2020-03-03,Rhode Island
VT,0,Northeast,2020-03-03,Vermont
GU,0,Territories,2020-03-03,NA
MP,0,Territories,2020-03-03,NA
PR,0,Territories,2020-03-03,NA
VI,0,Territories,2020-03-03,NA
AK,0,West,2020-03-04,Alaska
AZ,0,West,2020-03-04,Arizona
CA,1,West,2020-03-04,California
CO,0,West,2020-03-04,Colorado
HI,0,West,2020-03-04,Hawaii
ID,0,West,2020-03-04,Idaho
MT,0,West,2020-03-04,Montana
NM,0,West,2020-03-04,New Mexico
NV,0,West,2020-03-04,Nevada
OR,0,West,2020-03-04,Oregon
UT,0,West,2020-03-04,Utah
WA,1,West,2020-03-04,Washington
WY,0,West,2020-03-04,Wyoming
IA,0,Midwest,2020-03-04,Iowa
IL,0,Midwest,2020-03-04,Illinois
IN,0,Midwest,2020-03-04,Indiana
KS,0,Midwest,2020-03-04,Kansas
MI,0,Midwest,2020-03-04,Michigan
MN,0,Midwest,2020-03-04,Minnesota
MO,0,Midwest,2020-03-04,Missouri
ND,0,Midwest,2020-03-04,North Dakota
NE,0,Midwest,2020-03-04,Nebraska
OH,0,Midwest,2020-03-04,Ohio
OK,0,Midwest,2020-03-04,Oklahoma
SD,0,Midwest,2020-03-04,South Dakota
WI,0,Midwest,2020-03-04,Wisconsin
AL,0,South,2020-03-04,Alabama
AR,0,South,2020-03-04,Arkansas
FL,0,South,2020-03-04,Florida
GA,0,South,2020-03-04,Georgia
KY,0,South,2020-03-04,Kentucky
LA,0,South,2020-03-04,Louisiana
MS,0,South,2020-03-04,Mississippi
NC,0,South,2020-03-04,North Carolina
SC,0,South,2020-03-04,South Carolina
TN,0,South,2020-03-04,Tennessee
TX,0,South,2020-03-04,Texas
VA,0,South,2020-03-04,Virginia
WV,0,South,2020-03-04,West Virginia
CT,0,Northeast,2020-03-04,Connecticut
DC,0,Northeast,2020-03-04,NA
DE,0,Northeast,2020-03-04,Delaware
MA,0,Northeast,2020-03-04,Massachusetts
MD,0,Northeast,2020-03-04,Maryland
ME,0,Northeast,2020-03-04,Maine
NH,0,Northeast,2020-03-04,New Hampshire
NJ,0,Northeast,2020-03-04,New Jersey
NY,0,Northeast,2020-03-04,New York
PA,0,Northeast,2020-03-04,Pennsylvania
RI,0,Northeast,2020-03-04,Rhode Island
VT,0,Northeast,2020-03-04,Vermont
GU,0,Territories,2020-03-04,NA
MP,0,Territories,2020-03-04,NA
PR,0,Territories,2020-03-04,NA
VI,0,Territories,2020-03-04,NA
AK,0,West,2020-03-05,Alaska
AZ,0,West,2020-03-05,Arizona
CA,0,West,2020-03-05,California
CO,0,West,2020-03-05,Colorado
HI,0,West,2020-03-05,Hawaii
ID,0,West,2020-03-05,Idaho
MT,0,West,2020-03-05,Montana
NM,0,West,2020-03-05,New Mexico
NV,0,West,2020-03-05,Nevada
OR,0,West,2020-03-05,Oregon
UT,0,West,2020-03-05,Utah
WA,0,West,2020-03-05,Washington
WY,0,West,2020-03-05,Wyoming
IA,0,Midwest,2020-03-05,Iowa
IL,0,Midwest,2020-03-05,Illinois
IN,0,Midwest,2020-03-05,Indiana
KS,0,Midwest,2020-03-05,Kansas
MI,0,Midwest,2020-03-05,Michigan
MN,0,Midwest,2020-03-05,Minnesota
MO,0,Midwest,2020-03-05,Missouri
ND,0,Midwest,2020-03-05,North Dakota
NE,0,Midwest,2020-03-05,Nebraska
OH,0,Midwest,2020-03-05,Ohio
OK,0,Midwest,2020-03-05,Oklahoma
SD,0,Midwest,2020-03-05,South Dakota
WI,0,Midwest,2020-03-05,Wisconsin
AL,0,South,2020-03-05,Alabama
AR,0,South,2020-03-05,Arkansas
FL,0,South,2020-03-05,Florida
GA,0,South,2020-03-05,Georgia
KY,0,South,2020-03-05,Kentucky
LA,0,South,2020-03-05,Louisiana
MS,0,South,2020-03-05,Mississippi
NC,0,South,2020-03-05,North Carolina
SC,0,South,2020-03-05,South Carolina
TN,0,South,2020-03-05,Tennessee
TX,0,South,2020-03-05,Texas
VA,0,South,2020-03-05,Virginia
WV,0,South,2020-03-05,West Virginia
CT,0,Northeast,2020-03-05,Connecticut
DC,0,Northeast,2020-03-05,NA
DE,0,Northeast,2020-03-05,Delaware
MA,0,Northeast,2020-03-05,Massachusetts
MD,0,Northeast,2020-03-05,Maryland
ME,0,Northeast,2020-03-05,Maine
NH,0,Northeast,2020-03-05,New Hampshire
NJ,0,Northeast,2020-03-05,New Jersey
NY,0,Northeast,2020-03-05,New York
PA,0,Northeast,2020-03-05,Pennsylvania
RI,0,Northeast,2020-03-05,Rhode Island
VT,0,Northeast,2020-03-05,Vermont
GU,0,Territories,2020-03-05,NA
MP,0,Territories,2020-03-05,NA
PR,0,Territories,2020-03-05,NA
VI,0,Territories,2020-03-05,NA
AK,0,West,2020-03-06,Alaska
AZ,0,West,2020-03-06,Arizona
CA,0,West,2020-03-06,California
CO,0,West,2020-03-06,Colorado
HI,0,West,2020-03-06,Hawaii
ID,0,West,2020-03-06,Idaho
MT,0,West,2020-03-06,Montana
NM,0,West,2020-03-06,New Mexico
NV,0,West,2020-03-06,Nevada
OR,0,West,2020-03-06,Oregon
UT,0,West,2020-03-06,Utah
WA,1,West,2020-03-06,Washington
WY,0,West,2020-03-06,Wyoming
IA,0,Midwest,2020-03-06,Iowa
IL,0,Midwest,2020-03-06,Illinois
IN,0,Midwest,2020-03-06,Indiana
KS,0,Midwest,2020-03-06,Kansas
MI,0,Midwest,2020-03-06,Michigan
MN,0,Midwest,2020-03-06,Minnesota
MO,0,Midwest,2020-03-06,Missouri
ND,0,Midwest,2020-03-06,North Dakota
NE,0,Midwest,2020-03-06,Nebraska
OH,0,Midwest,2020-03-06,Ohio
OK,0,Midwest,2020-03-06,Oklahoma
SD,0,Midwest,2020-03-06,South Dakota
WI,0,Midwest,2020-03-06,Wisconsin
AL,0,South,2020-03-06,Alabama
AR,0,South,2020-03-06,Arkansas
FL,2,South,2020-03-06,Florida
GA,0,South,2020-03-06,Georgia
KY,0,South,2020-03-06,Kentucky
LA,0,South,2020-03-06,Louisiana
MS,0,South,2020-03-06,Mississippi
NC,0,South,2020-03-06,North Carolina
SC,0,South,2020-03-06,South Carolina
TN,0,South,2020-03-06,Tennessee
TX,0,South,2020-03-06,Texas
VA,0,South,2020-03-06,Virginia
WV,0,South,2020-03-06,West Virginia
CT,0,Northeast,2020-03-06,Connecticut
DC,0,Northeast,2020-03-06,NA
DE,0,Northeast,2020-03-06,Delaware
MA,0,Northeast,2020-03-06,Massachusetts
MD,0,Northeast,2020-03-06,Maryland
ME,0,Northeast,2020-03-06,Maine
NH,0,Northeast,2020-03-06,New Hampshire
NJ,0,Northeast,2020-03-06,New Jersey
NY,0,Northeast,2020-03-06,New York
PA,0,Northeast,2020-03-06,Pennsylvania
RI,0,Northeast,2020-03-06,Rhode Island
VT,0,Northeast,2020-03-06,Vermont
GU,0,Territories,2020-03-06,NA
MP,0,Territories,2020-03-06,NA
PR,0,Territories,2020-03-06,NA
VI,0,Territories,2020-03-06,NA
AK,0,West,2020-03-07,Alaska
AZ,0,West,2020-03-07,Arizona
CA,0,West,2020-03-07,California
CO,0,West,2020-03-07,Colorado
HI,0,West,2020-03-07,Hawaii
ID,0,West,2020-03-07,Idaho
MT,0,West,2020-03-07,Montana
NM,0,West,2020-03-07,New Mexico
NV,0,West,2020-03-07,Nevada
OR,0,West,2020-03-07,Oregon
UT,0,West,2020-03-07,Utah
WA,5,West,2020-03-07,Washington
WY,0,West,2020-03-07,Wyoming
IA,0,Midwest,2020-03-07,Iowa
IL,0,Midwest,2020-03-07,Illinois
IN,0,Midwest,2020-03-07,Indiana
KS,0,Midwest,2020-03-07,Kansas
MI,0,Midwest,2020-03-07,Michigan
MN,0,Midwest,2020-03-07,Minnesota
MO,0,Midwest,2020-03-07,Missouri
ND,0,Midwest,2020-03-07,North Dakota
NE,0,Midwest,2020-03-07,Nebraska
OH,0,Midwest,2020-03-07,Ohio
OK,0,Midwest,2020-03-07,Oklahoma
