State,num_cases,area,Date
MO,0,Midwest,2020-01-31
ND,0,Midwest,2020-01-31
NE,0,Midwest,2020-01-31
OH,0,Midwest,2020-01-31
OK,0,Midwest,2020-01-31
SD,0,Midwest,2020-01-31
WI,0,Midwest,2020-01-31
AL,0,South,2020-01-31
AR,0,South,2020-01-31
FL,0,South,2020-01-31
GA,0,South,2020-01-31
KY,0,South,2020-01-31
LA,0,South,2020-01-31
MS,0,South,2020-01-31
NC,0,South,2020-01-31
SC,0,South,2020-01-31
TN,0,South,2020-01-31
TX,0,South,2020-01-31
VA,0,South,2020-01-31
WV,0,South,2020-01-31
CT,0,Northeast,2020-01-31
DC,0,Northeast,2020-01-31
DE,0,Northeast,2020-01-31
MA,0,Northeast,2020-01-31
MD,0,Northeast,2020-01-31
ME,0,Northeast,2020-01-31
NH,0,Northeast,2020-01-31
NJ,0,Northeast,2020-01-31
NY,0,Northeast,2020-01-31
PA,0,Northeast,2020-01-31
RI,0,Northeast,2020-01-31
VT,0,Northeast,2020-01-31
GU,0,Territories,2020-01-31
MP,0,Territories,2020-01-31
PR,0,Territories,2020-01-31
VI,0,Territories,2020-01-31
AK,0,West,2020-02-01
AZ,0,West,2020-02-01
CA,0,West,2020-02-01
CO,0,West,2020-02-01
HI,0,West,2020-02-01
ID,0,West,2020-02-01
MT,0,West,2020-02-01
NM,0,West,2020-02-01
NV,0,West,2020-02-01
OR,0,West,2020-02-01
UT,0,West,2020-02-01
WA,0,West,2020-02-01
WY,0,West,2020-02-01
IA,0,Midwest,2020-02-01
IL,0,Midwest,2020-02-01
IN,0,Midwest,2020-02-01
KS,0,Midwest,2020-02-01
MI,0,Midwest,2020-02-01
MN,0,Midwest,2020-02-01
MO,0,Midwest,2020-02-01
ND,0,Midwest,2020-02-01
NE,0,Midwest,2020-02-01
OH,0,Midwest,2020-02-01
OK,0,Midwest,2020-02-01
SD,0,Midwest,2020-02-01
WI,0,Midwest,2020-02-01
AL,0,South,2020-02-01
AR,0,South,2020-02-01
FL,0,South,2020-02-01
GA,0,South,2020-02-01
KY,0,South,2020-02-01
LA,0,South,2020-02-01
MS,0,South,2020-02-01
NC,0,South,2020-02-01
SC,0,South,2020-02-01
TN,0,South,2020-02-01
TX,0,South,2020-02-01
VA,0,South,2020-02-01
WV,0,South,2020-02-01
CT,0,Northeast,2020-02-01
DC,0,Northeast,2020-02-01
DE,0,Northeast,2020-02-01
MA,1,Northeast,2020-02-01
MD,0,Northeast,2020-02-01
ME,0,Northeast,2020-02-01
NH,0,Northeast,2020-02-01
NJ,0,Northeast,2020-02-01
NY,0,Northeast,2020-02-01
PA,0,Northeast,2020-02-01
RI,0,Northeast,2020-02-01
VT,0,Northeast,2020-02-01
GU,0,Territories,2020-02-01
MP,0,Territories,2020-02-01
PR,0,Territories,2020-02-01
VI,0,Territories,2020-02-01
AK,0,West,2020-02-02
AZ,0,West,2020-02-02
CA,3,West,2020-02-02
CO,0,West,2020-02-02
HI,0,West,2020-02-02
ID,0,West,2020-02-02
MT,0,West,2020-02-02
NM,0,West,2020-02-02
NV,0,West,2020-02-02
OR,0,West,2020-02-02
UT,0,West,2020-02-02
WA,0,West,2020-02-02
WY,0,West,2020-02-02
IA,0,Midwest,2020-02-02
IL,0,Midwest,2020-02-02
IN,0,Midwest,2020-02-02
KS,0,Midwest,2020-02-02
MI,0,Midwest,2020-02-02
MN,0,Midwest,2020-02-02
MO,0,Midwest,2020-02-02
ND,0,Midwest,2020-02-02
NE,0,Midwest,2020-02-02
OH,0,Midwest,2020-02-02
OK,0,Midwest,2020-02-02
SD,0,Midwest,2020-02-02
WI,0,Midwest,2020-02-02
AL,0,South,2020-02-02
AR,0,South,2020-02-02
FL,0,South,2020-02-02
GA,0,South,2020-02-02
KY,0,South,2020-02-02
LA,0,South,2020-02-02
MS,0,South,2020-02-02
NC,0,South,2020-02-02
SC,0,South,2020-02-02
TN,0,South,2020-02-02
TX,0,South,2020-02-02
VA,0,South,2020-02-02
WV,0,South,2020-02-02
CT,0,Northeast,2020-02-02
DC,0,Northeast,2020-02-02
DE,0,Northeast,2020-02-02
MA,0,Northeast,2020-02-02
MD,0,Northeast,2020-02-02
ME,0,Northeast,2020-02-02
NH,0,Northeast,2020-02-02
NJ,0,Northeast,2020-02-02
NY,0,Northeast,2020-02-02
PA,0,Northeast,2020-02-02
RI,0,Northeast,2020-02-02
VT,0,Northeast,2020-02-02
GU,0,Territories,2020-02-02
MP,0,Territories,2020-02-02
PR,0,Territories,2020-02-02
VI,0,Territories,2020-02-02
AK,0,West,2020-02-05
AZ,0,West,2020-02-05
CA,0,West,2020-02-05
CO,0,West,2020-02-05
HI,0,West,2020-02-05
ID,0,West,2020-02-05
MT,0,West,2020-02-05
NM,0,West,2020-02-05
NV,0,West,2020-02-05
OR,0,West,2020-02-05
UT,0,West,2020-02-05
WA,0,West,2020-02-05
WY,0,West,2020-02-05
IA,0,Midwest,2020-02-05
IL,0,Midwest,2020-02-05
IN,0,Midwest,2020-02-05
KS,0,Midwest,2020-02-05
MI,0,Midwest,2020-02-05
MN,0,Midwest,2020-02-05
MO,0,Midwest,2020-02-05
ND,0,Midwest,2020-02-05
NE,0,Midwest,2020-02-05
OH,0,Midwest,2020-02-05
OK,0,Midwest,2020-02-05
SD,0,Midwest,2020-02-05
WI,1,Midwest,2020-02-05
AL,0,South,2020-02-05
AR,0,South,2020-02-05
FL,0,South,2020-02-05
GA,0,South,2020-02-05
KY,0,South,2020-02-05
LA,0,South,2020-02-05
MS,0,South,2020-02-05
NC,0,South,2020-02-05
SC,0,South,2020-02-05
TN,0,South,2020-02-05
TX,0,South,2020-02-05
VA,0,South,2020-02-05
WV,0,South,2020-02-05
CT,0,Northeast,2020-02-05
DC,0,Northeast,2020-02-05
DE,0,Northeast,2020-02-05
MA,0,Northeast,2020-02-05
MD,0,Northeast,2020-02-05
ME,0,Northeast,2020-02-05
NH,0,Northeast,2020-02-05
NJ,0,Northeast,2020-02-05
NY,0,Northeast,2020-02-05
PA,0,Northeast,2020-02-05
RI,0,Northeast,2020-02-05
VT,0,Northeast,2020-02-05
GU,0,Territories,2020-02-05
MP,0,Territories,2020-02-05
PR,0,Territories,2020-02-05
VI,0,Territories,2020-02-05
AK,0,West,2020-02-15
AZ,0,West,2020-02-15
CA,0,West,2020-02-15
CO,0,West,2020-02-15
HI,0,West,2020-02-15
ID,0,West,2020-02-15
MT,0,West,2020-02-15
NM,0,West,2020-02-15
NV,0,West,2020-02-15
OR,0,West,2020-02-15
UT,0,West,2020-02-15
WA,0,West,2020-02-15
WY,0,West,2020-02-15
IA,0,Midwest,2020-02-15
IL,0,Midwest,2020-02-15
IN,0,Midwest,2020-02-15
KS,0,Midwest,2020-02-15
MI,0,Midwest,2020-02-15
MN,0,Midwest,2020-02-15
MO,0,Midwest,2020-02-15
ND,0,Midwest,2020-02-15
NE,0,Midwest,2020-02-15
OH,0,Midwest,2020-02-15
OK,0,Midwest,2020-02-15
SD,0,Midwest,2020-02-15
WI,0,Midwest,2020-02-15
AL,0,South,2020-02-15
AR,0,South,2020-02-15
FL,0,South,2020-02-15
GA,0,South,2020-02-15
KY,0,South,2020-02-15
LA,0,South,2020-02-15
MS,0,South,2020-02-15
NC,0,South,2020-02-15
SC,0,South,2020-02-15
TN,0,South,2020-02-15
TX,0,South,2020-02-15
VA,0,South,2020-02-15
WV,0,South,2020-02-15
CT,0,Northeast,2020-02-15
DC,0,Northeast,2020-02-15
DE,0,Northeast,2020-02-15
MA,0,Northeast,2020-02-15
MD,0,Northeast,2020-02-15
ME,0,Northeast,2020-02-15
NH,0,Northeast,2020-02-15
NJ,0,Northeast,2020-02-15
NY,0,Northeast,2020-02-15
PA,0,Northeast,2020-02-15
RI,0,Northeast,2020-02-15
VT,0,Northeast,2020-02-15
GU,0,Territories,2020-02-15
MP,0,Territories,2020-02-15
PR,0,Territories,2020-02-15
VI,0,Territories,2020-02-15
AK,0,West,2020-02-20
AZ,0,West,2020-02-20
CA,2,West,2020-02-20
CO,0,West,2020-02-20
HI,0,West,2020-02-20
ID,0,West,2020-02-20
MT,0,West,2020-02-20
NM,0,West,2020-02-20
NV,0,West,2020-02-20
OR,0,West,2020-02-20
UT,0,West,2020-02-20
WA,0,West,2020-02-20
WY,0,West,2020-02-20
IA,0,Midwest,2020-02-20
IL,0,Midwest,2020-02-20
IN,0,Midwest,2020-02-20
KS,0,Midwest,2020-02-20
MI,0,Midwest,2020-02-20
MN,0,Midwest,2020-02-20
MO,0,Midwest,2020-02-20
ND,0,Midwest,2020-02-20
NE,0,Midwest,2020-02-20
OH,0,Midwest,2020-02-20
OK,0,Midwest,2020-02-20
SD,0,Midwest,2020-02-20
WI,0,Midwest,2020-02-20
AL,0,South,2020-02-20
AR,0,South,2020-02-20
FL,0,South,2020-02-20
GA,0,South,2020-02-20
KY,0,South,2020-02-20
LA,0,South,2020-02-20
MS,0,South,2020-02-20
NC,0,South,2020-02-20
SC,0,South,2020-02-20
TN,0,South,2020-02-20
TX,0,South,2020-02-20
VA,0,South,2020-02-20
WV,0,South,2020-02-20
CT,0,Northeast,2020-02-20
DC,0,Northeast,2020-02-20
DE,0,Northeast,2020-02-20
MA,0,Northeast,2020-02-20
MD,0,Northeast,2020-02-20
ME,0,Northeast,2020-02-20
NH,0,Northeast,2020-02-20
NJ,0,Northeast,2020-02-20
NY,0,Northeast,2020-02-20
PA,0,Northeast,2020-02-20
RI,0,Northeast,2020-02-20
VT,0,Northeast,2020-02-20
GU,0,Territories,2020-02-20
MP,0,Territories,2020-02-20
PR,0,Territories,2020-02-20
VI,0,Territories,2020-02-20
AK,0,West,2020-02-25
AZ,0,West,2020-02-25
CA,0,West,2020-02-25
CO,0,West,2020-02-25
HI,0,West,2020-02-25
ID,0,West,2020-02-25
MT,0,West,2020-02-25
NM,0,West,2020-02-25
NV,0,West,2020-02-25
OR,0,West,2020-02-25
UT,0,West,2020-02-25
WA,0,West,2020-02-25
WY,0,West,2020-02-25
IA,0,Midwest,2020-02-25
IL,0,Midwest,2020-02-25
IN,0,Midwest,2020-02-25
KS,0,Midwest,2020-02-25
MI,0,Midwest,2020-02-25
MN,0,Midwest,2020-02-25
MO,0,Midwest,2020-02-25
ND,0,Midwest,2020-02-25
NE,0,Midwest,2020-02-25
OH,0,Midwest,2020-02-25
OK,0,Midwest,2020-02-25
SD,0,Midwest,2020-02-25
WI,0,Midwest,2020-02-25
AL,0,South,2020-02-25
AR,0,South,2020-02-25
FL,0,South,2020-02-25
GA,0,South,2020-02-25
KY,0,South,2020-02-25
LA,0,South,2020-02-25
MS,0,South,2020-02-25
NC,0,South,2020-02-25
SC,0,South,2020-02-25
TN,0,South,2020-02-25
TX,0,South,2020-02-25
VA,0,South,2020-02-25
WV,0,South,2020-02-25
CT,0,Northeast,2020-02-25
DC,0,Northeast,2020-02-25
DE,0,Northeast,2020-02-25
MA,0,Northeast,2020-02-25
MD,0,Northeast,2020-02-25
ME,0,Northeast,2020-02-25
NH,0,Northeast,2020-02-25
NJ,0,Northeast,2020-02-25
NY,0,Northeast,2020-02-25
PA,0,Northeast,2020-02-25
RI,0,Northeast,2020-02-25
VT,0,Northeast,2020-02-25
GU,0,Territories,2020-02-25
MP,0,Territories,2020-02-25
PR,0,Territories,2020-02-25
VI,0,Territories,2020-02-25
AK,0,West,2020-02-26
AZ,0,West,2020-02-26
CA,1,West,2020-02-26
CO,0,West,2020-02-26
HI,0,West,2020-02-26
ID,0,West,2020-02-26
MT,0,West,2020-02-26
NM,0,West,2020-02-26
NV,0,West,2020-02-26
OR,0,West,2020-02-26
UT,0,West,2020-02-26
WA,0,West,2020-02-26
WY,0,West,2020-02-26
IA,0,Midwest,2020-02-26
IL,0,Midwest,2020-02-26
IN,0,Midwest,2020-02-26
KS,0,Midwest,2020-02-26
MI,0,Midwest,2020-02-26
MN,0,Midwest,2020-02-26
MO,0,Midwest,2020-02-26
ND,0,Midwest,2020-02-26
NE,0,Midwest,2020-02-26
OH,0,Midwest,2020-02-26
OK,0,Midwest,2020-02-26
SD,0,Midwest,2020-02-26
WI,0,Midwest,2020-02-26
AL,0,South,2020-02-26
AR,0,South,2020-02-26
FL,0,South,2020-02-26
GA,0,South,2020-02-26
KY,0,South,2020-02-26
